TestName	seed	FacLoc	FacScale	CellN	deProb	deDown	Rep	Test
4554_0.8_0.4_MULT2_0.25_0.5	3351	0.8	0.4	"1600,1200,800,600,400,300,200,100,50"	0.25	0.5	2	47
191_0.8_0.4_MULT2_0.25_0.5	1215	0.8	0.4	"1600,1200,800,600,400,300,200,100,50"	0.25	0.5	3	47
6433_0.8_0.4_MULT2_0.25_0.5	4122	0.8	0.4	"1600,1200,800,600,400,300,200,100,50"	0.25	0.5	4	47
3740_0.8_0.4_MULT2_0.25_0.5	8577	0.8	0.4	"1600,1200,800,600,400,300,200,100,50"	0.25	0.5	5	47
2619_0.8_0.4_MULT3_0.25_0.5	9096	0.8	0.4	"125,255,450,600,700,750,700,450,150"	0.25	0.5	1	48
356_0.8_0.4_MULT3_0.25_0.5	4404	0.8	0.4	"125,255,450,600,700,750,700,450,150"	0.25	0.5	2	48
4553_0.8_0.4_MULT3_0.25_0.5	5097	0.8	0.4	"125,255,450,600,700,750,700,450,150"	0.25	0.5	3	48
7698_0.8_0.4_MULT3_0.25_0.5	6032	0.8	0.4	"125,255,450,600,700,750,700,450,150"	0.25	0.5	4	48
3243_0.8_0.4_MULT3_0.25_0.5	6581	0.8	0.4	"125,255,450,600,700,750,700,450,150"	0.25	0.5	5	48
2804_0.8_0.4_MULT4_0.25_0.5	5212	0.8	0.4	"791,373,384,840,449,106,552,222,734"	0.25	0.5	1	49
4536_0.8_0.4_MULT4_0.25_0.5	5273	0.8	0.4	"791,373,384,840,449,106,552,222,734"	0.25	0.5	2	49
2708_0.8_0.4_MULT4_0.25_0.5	6097	0.8	0.4	"791,373,384,840,449,106,552,222,734"	0.25	0.5	3	49
9568_0.8_0.4_MULT4_0.25_0.5	6925	0.8	0.4	"791,373,384,840,449,106,552,222,734"	0.25	0.5	4	49
1005_0.8_0.4_MULT4_0.25_0.5	4124	0.8	0.4	"791,373,384,840,449,106,552,222,734"	0.25	0.5	5	49
3416_0.8_0.4_MULT5_0.25_0.5	6486	0.8	0.4	"983,941,750,509,430,360,248,724,417"	0.25	0.5	1	50
4913_0.8_0.4_MULT5_0.25_0.5	7682	0.8	0.4	"983,941,750,509,430,360,248,724,417"	0.25	0.5	2	50
